Venue,City,State,ZipCode,Adjusted Capacity
Byline Bank Aragon Ballroom,Chicago,IL,60640,5000
Wintrust Arena,Chicago,IL,60616,10387
Grossinger Motors Arena,Bloomington,IL,61701,7000
Peoria Civic Center,Peoria,IL,61602,11442
Boondocks,Springfield,IL,62702,900
Joes Live Rosemont,Rosemont,IL,60018,1500
BMO Harris Bank Center,Rockford,IL,61101,10000
SeatGeek Stadium,Bridgeview,IL,60455,28000
NOW Arena,Hoffman Estates,IL,60192,11218
Illinois State Fairgrounds,Springfield,IL,62706,13000
Egyptian Theatre - DeKalb,DeKalb,IL,60115,1430
Devon Lakeshore Amphitheater,Decatur,IL,62521,4000
Coronado Performing Arts Center,Rockford,IL,61101,2310
Morgan County Fair Grandstand - IL,Jacksonville,IL,62650,9000
State Farm Center,Champaign,IL,61820,15500
Joes on Weed Street,Chicago,IL,60613,800
The Castle Theatre,Bloomington,IL,61701,700
Park West,Chicago,IL,60614,1000
Pops,Sauget,IL,62201,1500
Hollywood Casino Amphitheatre Chicago,Tinley Park,IL,60477,28600
PRYSM Nightclub,Chicago,IL,60642,850
Fourth Presbyterian Church - Chicago,Chicago,IL,60611,1000
Sangamon Auditorium,Springfield,IL,62703,2005
Rialto Square Theatre,Joliet,IL,60432,1966
The Apollo Theatre AC,Belvidere,IL,61008,910
Patio Theater,Chicago,IL,60634,1500
Three Sisters Park,Chillicothe,IL,61523,18000
Ravinia,Highland Park,IL,60035,3200
Vic Theatre,Chicago,IL,60657,1400
Wrigley Field,Chicago,IL,60613,41159
Credit Union 1 Arena at UIC,Chicago,IL,60607,9500
Huntington Bank Pavilion at Northerly Island,Chicago,IL,60605,29700
Riviera Theatre - IL,Chicago,IL,60640,2500
Gainbridge Fieldhouse,Indianapolis,IN,46204,20000
Ruoff Home Mortgage Music Center,Noblesville,IN,46060,24790
Ford Center Evansville,Evansville,IN,47708,10000
Bluebird Nightclub,Bloomington,IN,47401,700
Murat Egyptian Room at Old National Centre,Indianapolis,IN,46204,2000
Honeywell Center,Wabash,IN,46992,1500
The Lerner Theatre,Elkhart,IN,46516,1700
Conner Prairie Amphitheatre,Fishers,IN,46038,8000
Embassy Theatre,Fort Wayne,IN,46802,2471
Blue Gate Performing Arts Center,Shipshewana,IN,46565,1500
Simon Skjodt Assembly Hall,Bloomington,IN,47408,17222
The Hi Fi,Indianapolis,IN,46203,400
Purcell Pavilion at the Joyce Center,Notre Dame,IN,46556,9149
LaPorte County Fairgrounds,La Porte,IN,46350,14000
Lucas Oil Stadium,Indianapolis,IN,46204,70000
Old National Events Plaza,Evansville,IN,47708,2500
Four Winds Field at Coveleski Stadium,South Bend,IN,46601,5000
The Eclectic Room,Angola,IN,46703,800
Victory Theatre,Evansville,IN,47711,1950
Hard Rock Casino Northern Indiana,Gary,IN,46406,2000
Murat Theatre at Old National Centre,Indianapolis,IN,46204,2681
Deluxe at Old National Centre,Indianapolis,IN,46204,500
Clyde Theatre,Fort Wayne,IN,46808,2200
Palladium Center For The Performing Arts,Carmel,IN,46032,1600
Notre Dame Stadium,South Bend,IN,46556,77622
Allen County War Memorial Coliseum,Fort Wayne,IN,46805,13000
TCU Amphitheater at White River State Park,Indianapolis,IN,46204,3000
Citadel Music Hall,Indianapolis,IN,46241,1800
Azura Amphitheater,Bonner Springs,KS,66012,18000
Intrust Bank Arena,Wichita,KS,67202,15750
Kanza Hall,Overland Park,KS,66213,996
Hartman Arena,Park City,KS,67147,6500
Johnson County Community College - Yardley Hall,Overland Park,KS,66210,424
Stiefel Theatre for the Performing Arts,Salina,KS,67401,3100
Kansas State Fair Grandstand,Hutchinson,KS,67502,10000
Orpheum Theatre - Wichita,Wichita,KS,67202,2600
Granada Theater Lawrence,Lawrence,KS,66044,900
Topeka Performing Arts Center,Topeka,KS,66603,2417
The Cotillion,Wichita,KS,67209,2000
KFC Yum Center,Louisville,KY,40202,17500
Rupp Arena,Lexington,KY,40507,23500
The Corbin Arena,Corbin,KY,40701,21500
Manchester Music Hall,Lexington,KY,40505,1100
Luther F Carson Four Rivers Center,Paducah,KY,42003,1806
Southern Kentucky Performing Arts Center,Bowling Green,KY,42101,1800
BB&T Arena at Northern Kentucky University,Newport,KY,41099,10000
Kentucky Center - Brown Theatre,Louisville,KY,40202,1400
Kentucky Center - Paristown Hall,Louisville,KY,40204,2000
Headliners Music Hall,Louisville,KY,40206,700
Bourbon Hall,Louisville,KY,40202,2500
