Venue,City,State,ZipCode,Adjusted Capacity
Kirby Center,Wilkes-Barre,PA,18702,1800
Luhrs Center,Shippensburg,PA,17257,1500
Parx Casino and Racing,Bensalem,PA,19020,1500
Bethlehem Musikfest Grounds - Wind Creek Steel Stage,Bethlehem,PA,18015,6200
Benedum Center,Pittsburgh,PA,15222,2800
Santander Performing Arts Center,Reading,PA,19601,1752
Allentown Fairgrounds,Allentown,PA,18104,14500
Jergels Rhythm Grille,Warrendale,PA,15086,600
The Foundry Philadelphia,Philadelphia,PA,19123,450
Roxian Theatre,McKees Rocks,PA,15136,1400
World Cafe Live Philadelphia,Philadelphia,PA,19104,200
The Fillmore Philadelphia,Philadelphia,PA,19123,2500
Liacouras Center,Philadelphia,PA,19122,10200
TD Pavilion at the Mann,Philadelphia,PA,19131,14000
Dell Music Center,Philadelphia,PA,19131,5944
Skyline Stage at the Mann,Philadelphia,PA,19131,4000
Hershey Theatre,Hershey,PA,17033,1904
UPMC Events Center,Moon,PA,15108,4000
Brooklyn Bowl Philadelphia,Philadelphia,PA,19123,900
Sherman Theater,Stroudsburg,PA,18360,1250
Harrisburg Midtown Arts Center,Harrisburg,PA,17102,800
Wild Things Park,Washington,PA,15301,3200
Estadio Hiram Bithorn,San Juan,PR,920,18000
Bell Centre,Montreal,QC,H4B 5G0,21273
Place Bell,Laval,QC,H7N 5H9,2500
MTELUS,Montreal,QC,H2X 1K5,2300
Corona Theatre,Montreal,QC,H3J 1N5,925
Place Des Arts - Salle Wilfrid Pelletier,Montreal,QC,H2X 3X5,2990
Videotron Centre,Quebec City,QC,G1L 5A7,18259
Dunkin Donuts Center,Providence,RI,2903,12400
The Strand Ballroom and Theatre - RI,Providence,RI,2903,1980
Providence Performing Arts Center,Providence,RI,2903,3090
Bon Secours Wellness Arena,Greenville,SC,29601,15951
North Charleston Coliseum,North Charleston,SC,29418,35307
House of Blues Myrtle Beach,North Myrtle Beach,SC,29582,2000
Charleston Gaillard Center,Charleston,SC,29401,1700
Music Farm Charleston,Charleston,SC,29403,800
Colonial Life Arena,Columbia,SC,29201,18000
Credit One Stadium,Charleston,SC,29492,10200
The Senate,Columbia,SC,29201,1200
Blind Horse Saloon,Greenville,SC,29607,1000
Hanahan Amphitheater,Hanahan,SC,29410,2500
The Windjammer,Isle of Palms,SC,29451,550
Charleston Music Hall,Charleston,SC,29413,965
Township Auditorium,Columbia,SC,29201,3383
SRP Park,North Augusta,SC,29841,5000
CCNB Amphitheatre at Heritage Park,Simpsonville,SC,29681,10000
North Charleston Performing Arts Center,North Charleston,SC,29418,35307
Peace Center,Greenville,SC,29601,2115
Denny Sanford PREMIER Center,Sioux Falls,SD,57104,13000
Summit Arena at The Monument,Rapid City,SD,57701,10000
Swiftel Center,Brookings,SD,57006,5700
Sanford Pentagon,Sioux Falls,SD,57107,3250
WH Lyon Fairgrounds,Sioux Falls,SD,57104,6100
The District Sioux Falls,Sioux Falls,SD,57106,1500
South Dakota State Fair,Huron,SD,57350,5000
The Monument,Rapid City,SD,57701,1690
Washington Pavilion of Arts & Science,Sioux Falls,SD,57104,1900
Don Barnett Arena at Rushmore Plaza Civic Center,Rapid City,SD,57701,2200
Outlaw Square,Deadwood,SD,57732,2500
Brandt Centre,Regina,SK,S4P 2Z6,7000
SaskTel Centre,Saskatoon,SK,S7R 1C4,15195
Mosaic Place,Moose Jaw,SK,S6H0Y8,4500
Coors Event Centre,Saskatoon,SK,S7K 1K8,1000
Conexus Arts Centre,Regina,SK,S4S 7G4,2031
TCU Place,Saskatoon,SK,S7K 0C8,2003
Bridgestone Arena,Nashville,TN,37203,20000
FedEx Forum,Memphis,TN,38103,18119
Marathon Music Works,Nashville,TN,37203,1500
Ryman Auditorium,Nashville,TN,37219,2362
Nissan Stadium,Nashville,TN,37213,69143
Radians Amphitheater,Memphis,TN,38117,6500
Exit In,Nashville,TN,37203,400
Cannery Ballroom,Nashville,TN,37203,1000
Minglewood Hall,Memphis,TN,38104,1200
Orpheum Theatre - Memphis,Memphis,TN,38103,2500
The Basement East,Nashville,TN,37206,545
Mercy Lounge,Nashville,TN,37203,500
Ascend Amphitheater,Nashville,TN,37201,6800
Grand Ole Opry House,Nashville,TN,37214,4372
Thompson-Boling Arena,Knoxville,TN,37996,21678
The Mill and Mine,Knoxville,TN,37917,1200
Tennessee Valley Fair,Knoxville,TN,37914,4500
Bonnaroo Manchester Farm,Manchester,TN,37349,90000
Cotton Eyed Joe,Knoxville,TN,37932,3000
Brooklyn Bowl - Nashville,Nashville,TN,37201,1200
The Signal,Chattanooga,TN,37408,1300
Tivoli Theatre Chattanooga,Chattanooga,TN,37402,1750
Tennessee Theatre,Knoxville,TN,37902,1631
Country Music Hall Of Fame,Nashville,TN,37203,776
Walker Theatre - TN,Chattanooga,TN,37402,851
The Cowan - Nashville,Nashville,TN,37207,600
Memorial Gymnasium,Nashville,TN,37240,14316
FirstBank Amphitheater,Franklin,TN,37064,7500
Schermerhorn Symphony Center,Nashville,TN,37201,1844
Cannon Center for the Performing Arts,Memphis,TN,38103,2072
Soldiers and Sailors Memorial Auditorium,Chattanooga,TN,37402,4878
3rd & Lindsley,Nashville,TN,37210,1000
UTC McKenzie Arena,Chattanooga,TN,37403,10928
Knoxville Civic Coliseum,Knoxville,TN,37915,7141
Nashville Municipal Auditorium,Nashville,TN,37201,9700
The Great Lawn in Centennial Park,Nashville,TN,37203,5000
AT&T Center,San Antonio,TX,78219,19000
Toyota Center - TX,Houston,TX,77002,18300
American Airlines Center - TX,Dallas,TX,75219,20000
HEB Center at Cedar Park,Cedar Park,TX,78613,8000
Don Haskins Center,El Paso,TX,79902,11892
Freeman Coliseum,San Antonio,TX,78220,11700
Moody Center ATX,Austin,TX,78712,15000
Frank Erwin Center,Austin,TX,78701,16734
NRG Stadium,Houston,TX,77054,80000
Dickies Arena,Fort Worth,TX,76107,14000
United Supermarkets Arena,Lubbock,TX,79409,15000
Bayou Music Center,Houston,TX,77002,3464
Dos Equis Pavilion,Dallas,TX,75210,20000
Cynthia Woods Mitchell Pavilion,The Woodlands,TX,77380,16500
Globe Life Park in Arlington,Arlington,TX,76011,49115
AT&T Stadium,Arlington,TX,76011,111000
House of Blues Houston,Houston,TX,77002,1500
Smart Financial Centre,Sugar Land,TX,77479,6400
Alamodome,San Antonio,TX,78203,77000
Germania Insurance Amphitheater,Del Valle,TX,78617,14000
Club Dada,Dallas,TX,75226,400
House of Blues Dallas,Dallas,TX,75202,1600
NRG Arena,Houston,TX,77054,8000
Texas Trust CU Theatre at Grand Prairie,Grand Prairie,TX,75050,6350
Warehouse Live,Houston,TX,77003,1650
South Side Ballroom,Dallas,TX,75215,3000
Houston Arena Theatre,Houston,TX,77074,2800
Austin City Limits Live at The Moody Theater,Austin,TX,78701,2750
Emos Austin,Austin,TX,78741,1700
Payne Arena,Hidalgo,TX,78557,6800
Sames Auto Arena,Laredo,TX,78041,10000
La Hacienda Event Center,Midland,TX,79707,250
Curtis Culwell Center,Garland,TX,75040,6860
Cotton Bowl Stadium,Dallas,TX,75210,92100
Fort Worth Convention Center Arena,Fort Worth,TX,76102,13500
713 Music Hall,Houston,TX,77201,5000
Moody Amphitheater,Austin,TX,78701,5000
Pavilion at Toyota Music Factory,Irving,TX,75039,8000
American Bank Center,Corpus Christi,TX,78401,10000
Credit Union of Texas Event Center,Allen,TX,75002,8100
Concrete Street Amphitheater,Corpus Christi,TX,78401,3000
Dell Diamond,Round Rock,TX,78665,11631
Ford Center at The Star,Frisco,TX,75034,12000
Billy Bobs,Fort Worth,TX,76164,6000
TPC San Antonio,San Antonio,TX,78261,20000
Whitewater On The Horseshoe,New Braunfels,TX,78132,5600
John T. Floore Country Store,Helotes,TX,78023,1000
Trees,Dallas,TX,75226,600
Globe Life Field,Arlington,TX,76011,40300
Minute Maid Park,Houston,TX,77002,41168
Isla Grand Beach Resort,South Padre Island,TX,78597,200
El Paso County Coliseum,El Paso,TX,79905,5250
Circuit of The Americas,Austin,TX,78617,100000
The Bronze Peacock at House of Blues Houston,Houston,TX,77002,125
Antone's - Austin,Austin,TX,78701,400
Stubbs BarBQ,Austin,TX,78701,2100
Aztec Theatre,San Antonio,TX,78205,1500
Claytons Beach Bar and Event Venue,South Padre Island,TX,78597,5000
Majestic Theatre San Antonio,San Antonio,TX,78205,2264
The Factory in Deep Ellum,Dallas,TX,75226,4300
White Oak Music Hall,Houston,TX,77009,1000
Cle Houston,Houston,TX,77002,500
The Parish - Austin,Austin,TX,78701,450
Mohawk - Austin,Austin,TX,78701,900
Bert Ogden Arena,Edinburg,TX,78539,7688
Toyota Stadium,Frisco,TX,75033,20500
Selena Auditorium at American Bank Center,Corpus Christi,TX,78401,2500
Bass Concert Hall,Austin,TX,78712,2900
The Plaza Theatre Performing Arts Center,El Paso,TX,79901,2050
Amarillo Civic Center Auditorium,Amarillo,TX,79101,7000
Abraham Chavez Theatre,El Paso,TX,79901,2500
Wagner Noel Performing Arts Center,Midland,TX,79707,1819
Texas Motor Speedway,Fort Worth,TX,76177,181655
Vibes Event Center,San Antonio,TX,78205,1800
Lonestar Amphitheater and Event Center,Lubbock,TX,79403,7500
Tobin Center for the Performing Arts,San Antonio,TX,78205,2100
McAllen Convention Center,McAllen,TX,78501,3500
Midland County Horseshoe,Midland,TX,79702,4300
South Plains Fair Park Coliseum,Lubbock,TX,79403,8513
Vivint Smart Home Arena,Salt Lake City,UT,84101,18300
UCCU Center,Orem,UT,84058,8500
Usana Amphitheatre,Salt Lake City,UT,84118,20000
The Depot,Salt Lake City,UT,84101,1200
Tuacahn Amphitheatre,Ivins,UT,84738,2000
Eccles Theater - Salt Lake City,Salt Lake City,UT,84101,2500
Park City Live,Park City,UT,84060,800
Maverik Center,Salt Lake City,UT,84119,12600
The Great Saltair,Magna,UT,84044,4600
DeJoria Center,Kamas,UT,84036,1200
The Complex - UT,Salt Lake City,UT,84101,850
The Union Event Center - Salt Lake City,Salt Lake City,UT,84116,3500
Utah State Fairgrounds,Salt Lake City,UT,84115,10000
EagleBank Arena,Fairfax,VA,22030,10000
Jiffy Lube Live,Bristow,VA,20136,22500
Veterans United Home Loans Amphitheater at Virginia Beach,Virginia Beach,VA,23456,20000
The National,Richmond,VA,23219,1500
The Norva,Norfolk,VA,23510,1450
John Paul Jones Arena,Charlottesville,VA,22904,14593
5th Street and Oceanfront,Virginia Beach,VA,23456,7000
Rockingham County Fair,Harrisonburg,VA,22801,6500
Berglund Center,Roanoke,VA,24016,10600
Innsbrook After Hours,Glen Allen,VA,23060,8500
Marks and Harrison Amphitheater,Fredericksburg,VA,22401,5000
Chartway Arena,Norfolk,VA,23508,9100
Elmwood Park Amphitheater,Roanoke,VA,24011,4000
The Meadow Event Park,Doswell,VA,23047,20000
Hampton Coliseum,Hampton,VA,23666,9777
Altria Theater,Richmond,VA,23220,3565
Capital One Hall,Tysons,VA,22102,1600
Elevation 27,Virginia Beach,VA,23451,600
Dr Pepper Park,Roanoke,VA,24016,8000
The Beacon Theatre - Hopewell,Hopewell,VA,23860,640
ORIGAMI,Norfolk,VA,23502,436
Hampton Convocation Center,Hampton,VA,23668,8200
Harvester Performance Center,Rocky Mount,VA,24151,460
Eagles Nest Rockin Country Bar,Chesapeake,VA,23320,500
Berglund Performing Arts Theater,Roanoke,VA,24016,2151
Wolf Trap Farm,Vienna,VA,22182,7024
Carpenter Theatre at Dominion Energy Center,Richmond,VA,23219,3600
Ferguson Center for the Arts Concert Hall,Newport News,VA,23606,1753
Atlantic Union Bank Pavilion,Portsmouth,VA,23704,6500
Norfolk Scope Arena,Norfolk,VA,23510,10253
Paramount Theatre Rutland,Rutland,VT,5701,1000
Flynn Center for the Performing Arts,Burlington,VT,5401,1411
Tacoma Dome,Tacoma,WA,98421,23000
WaMu Theater - Seattle,Seattle,WA,98134,6700
T-Mobile Park,Seattle,WA,98134,47480
White River Amphitheatre,Auburn,WA,98092,20000
Gorge Amphitheatre,George,WA,98848,20000
Northern Quest Casino,Spokane,WA,99224,4000
Knitting Factory Concert House Spokane,Spokane,WA,99201,1500
Showbox at the Market,Seattle,WA,98101,1100
ShoWare Center,Kent,WA,98032,6500
Chateau Ste Michelle,Woodinville,WA,98072,4300
Climate Pledge Arena,Seattle,WA,98109,17459
Marymoor Amphitheater,Redmond,WA,98052,5000
Spokane Arena,Spokane,WA,99201,12638
Lumen Field,Seattle,WA,98134,72000
RV Inn Style Resorts Amphitheater,Ridgefield,WA,98642,18000
Ilani Casino Resort,Ridgefield,WA,98642,2500
Angel of the Winds Arena,Everett,WA,98201,10000
Puyallup Fairgrounds at Washington State Fair,Puyallup,WA,98371,10368
Auburn Performing Arts Center,Auburn,WA,98002,950
Central Washington State Fair,Yakima,WA,98901,10368
Neumos,Seattle,WA,98122,650
Showbox SODO,Seattle,WA,98134,1150
Moore Theatre,Seattle,WA,98107,1800
Toyota Center - WA,Kennewick,WA,99336,6000
Paramount Theatre Seattle,Seattle,WA,98101,2807
First Interstate Center for the Arts,Spokane,WA,99201,2700
Deep Water Amphitheater,Manson,WA,98831,1600
Martin Woldson Theater at the Fox,Spokane,WA,99210,1715
Fiserv Forum,Milwaukee,WI,53203,17341
American Family Insurance Amphitheater,Milwaukee,WI,53202,23000
The Rave-Eagles Club,Milwaukee,WI,53233,1500
Resch Center,Green Bay,WI,54304,9877
Majestic Theatre-WI,Madison,WI,53703,600
Coliseum at Alliant Energy Center,Madison,WI,53713,550
American Family Field,Milwaukee,WI,53214,41900
Alpine Valley Music Theatre,East Troy,WI,53120,35300
La Crosse Center,La Crosse,WI,54601,7500
Meyer Theatre,Green Bay,WI,54301,1000
The Sylvee,Madison,WI,53703,2500
Pabst Theater,Milwaukee,WI,53202,1279
Riverside Theater - WI,Milwaukee,WI,53203,2450
Miller High Life Theatre,Milwaukee,WI,53203,4086
Kohl Center,Madison,WI,53711,17230
Lambeau Field,Green Bay,WI,54307,81441
Green Bay Distillery,Ashwaubenon,WI,54304,1000
Jefferson County Fair Park,Jefferson,WI,53549,2200
BMO Harris Pavilion,Milwaukee,WI,53202,5000
Turner Hall Ballroom,Milwaukee,WI,53203,987
Fox Cities Performing Arts Center,Appleton,WI,54911,2072
Orpheum Theatre - Madison,Madison,WI,53703,1700
Breese Stevens Field,Madison,WI,53703,5000
Overture Center - Overture Hall,Madison,WI,53703,2255
Brown County Veterans Memorial Arena,Green Bay,WI,54304,5248
North Star Mohican Casino,Bowler,WI,54416,1000
EPIC Event Center,Ashwaubenon,WI,54304,2100
Statz Bros Farm,Marshall,WI,53559,20000
Mountain Health Arena,Huntington,WV,25701,9000
Clarksburg Amphitheater,Clarksburg,WV,26301,2000
Charleston Coliseum and Convention Center,Charleston,WV,25301,13500
State Fair of West Virginia,Lewisburg,WV,24901,15000
Hollywood Casino at Charles Town Races,Charles Town,WV,25414,1200
Appalachian Power Park,Charleston,WV,25301,4500
West Virginia University Coliseum,Morgantown,WV,26505,14000
Charleston Municipal Auditorium,Charleston,WV,25301,3400
Metropolitan Theatre - WV,Morgantown,WV,26505,1300
Cheyenne Frontier Days,Cheyenne,WY,82001,19000
Cheyenne Civic Center,Cheyenne,WY,82001,1490
